periodo,inflacion
Abr.2006,0.510007190746034
May.2006,-0.527951846100242
Jun.2006,-0.132537237586119
Jul.2006,-0.17044035636352
Ago.2006,0.13934667530607
Sep.2006,0.0273681222498222
Oct.2006,0.0437894195875647
Nov.2006,-0.282155165945056
Dic.2006,0.0258117661108955
Ene.2007,0.0094278706569336
Feb.2007,0.25946729961008
Mar.2007,0.348835470333003
Abr.2007,0.178206800195308
May.2007,0.491871629879991
Jun.2007,0.469692062317829
Jul.2007,0.475545229813074
Ago.2007,0.136907638047225
Sep.2007,0.612500624383494
Oct.2007,0.314014669403244
Nov.2007,0.111007166747877
Dic.2007,0.453104937624353
Ene.2008,0.222046237637442
Feb.2008,0.907018256710701
Mar.2008,1.04185066180591
Abr.2008,0.154220132610723
May.2008,0.369491179954231
Jun.2008,0.769602394432851
Jul.2008,0.555471918982357
Ago.2008,0.590485120627808
Sep.2008,0.567201348170299
Oct.2008,0.613128730631335
Nov.2008,0.309023518807206
Dic.2008,0.360223443699306
Ene.2009,0.105779087549192
Feb.2009,-0.0747867011977923
Mar.2009,0.360219096293319
Abr.2009,0.0190113387638141
May.2009,-0.0430059879071317
Jun.2009,-0.339576397635527
Jul.2009,0.186688283246876
Ago.2009,-0.207404080346908
Sep.2009,-0.0871865178354843
Oct.2009,0.122626055714729
Nov.2009,-0.112067511656828
Dic.2009,0.317106553518078
Ene.2010,0.295916358843193
Feb.2010,0.322508087876127
Mar.2010,0.280812098247149
Abr.2010,0.0253574343372818
May.2010,0.237859799840972
Jun.2010,0.25084872902545
Jul.2010,0.363955387679499
Ago.2010,0.268515340301766
Sep.2010,-0.0320081184717505
Oct.2010,-0.141721635707217
Nov.2010,0.0079054058141417
Dic.2010,0.178465894473198
Ene.2011,0.390436430112132
Feb.2011,0.38232131500092
Mar.2011,0.70246827579307
Abr.2011,0.680913006312609
May.2011,-0.023705939231349
Jun.2011,0.0991430632533504
Jul.2011,0.792952335352793
Ago.2011,0.26581819673157
Sep.2011,0.334184450724357
Oct.2011,0.314850475426423
Nov.2011,0.431423021984299
Dic.2011,0.270908693685631
Ene.2012,-0.101321658058542
Feb.2012,0.32490889268749
Mar.2012,0.766016269027565
Abr.2012,0.531540157871349
May.2012,0.03926077503556
Jun.2012,-0.0366953058830012
Jul.2012,0.0903588612568951
Ago.2012,0.508401059841231
Sep.2012,0.542706494983504
Oct.2012,-0.163323292399981
Nov.2012,-0.137468673524668
Dic.2012,0.258775005035199
Ene.2013,0.115417675695559
Feb.2013,-0.0871433108554979
Mar.2013,0.905940864216695
Abr.2013,0.252386434513867
May.2013,0.193585595743532
Jun.2013,0.261797703601153
Jul.2013,0.548478702276045
Ago.2013,0.54290503863184
Sep.2013,0.108780375955996
Oct.2013,0.0382722950763035
Nov.2013,-0.218243304450852
Dic.2013,0.165817500674368
Ene.2014,0.316846515378193
Feb.2014,0.60083869624388
Mar.2014,0.518558879929413
Abr.2014,0.393222043698289
May.2014,0.225030490782512
Jun.2014,0.159177501068276
Jul.2014,0.433312575620032
Ago.2014,-0.0856196342018747
Sep.2014,0.160502508704002
Oct.2014,0.378858336021168
Nov.2014,-0.149460647587778
Dic.2014,0.228891578078382
Ene.2015,0.170295685735701
Feb.2015,0.30346893023652
Mar.2015,0.764664131404038
Abr.2015,0.390506491415774
May.2015,0.564365427803757
Jun.2015,0.332341348473706
Jul.2015,0.450786388967827
Ago.2015,0.377226121085694
Sep.2015,0.0275381794493309
Oct.2015,0.142799384312569
Nov.2015,0.344071735952856
Dic.2015,0.445721499061671
Ene.2016,0.37252021115541
Feb.2016,0.174091242706681
Mar.2016,0.598118099213
Abr.2016,0.0114065609758854
May.2016,0.209563738332199
Jun.2016,0.139508528737671
Jul.2016,0.081747041914584
Ago.2016,0.358285853821853
Sep.2016,0.206464092392192
Oct.2016,0.413354520523768
Nov.2016,0.290064059118052
Dic.2016,0.33419524609934
Ene.2017,0.237843060107308
Feb.2017,0.323171371975582
Mar.2017,1.30455818519093
Abr.2017,-0.258053478882145
May.2017,-0.423337988013419
Jun.2017,-0.159198769026384
Jul.2017,0.198285823750627
Ago.2017,0.672225629676554
Sep.2017,-0.0157699757397503
Oct.2017,-0.469245219484567
Nov.2017,-0.197237337488294
Dic.2017,0.156851858043552
Ene.2018,0.127417107488591
Feb.2018,0.250220520720826
Mar.2018,0.487124356837782
Abr.2018,-0.137073083858309
May.2018,0.0184551804113629
Jun.2018,0.334058214668909
Jul.2018,0.382785985925354
Ago.2018,0.131767259402052
Sep.2018,0.191681610790045
Oct.2018,0.0816835303769421
Nov.2018,0.122438003210824
Dic.2018,0.181777270585084
Ene.2019,0.0653322898985492
Feb.2019,0.126761453780625
Mar.2019,0.727552259105356
Abr.2019,0.200080537447719
May.2019,0.14761382269664
Jun.2019,-0.0862718704256484
Jul.2019,0.203336703292959
Ago.2019,0.0609772736582818
Sep.2019,0.0063829985801787
Oct.2019,0.110725430948253
Nov.2019,0.108910232526761
Dic.2019,0.214521161156722
Ene.2020,0.0538080667322616
Feb.2020,0.142172034360178
Mar.2020,0.645999987966259
Abr.2020,0.104582684852522
May.2020,0.204153570879042
Jun.2020,-0.266096854987984
Jul.2020,0.462688397344215
Ago.2020,-0.110238965197723
Sep.2020,0.136353971354613
Oct.2020,0.0167755516523417
Nov.2020,0.520479581391504
Dic.2020,0.0487327395330378
Ene.2021,0.742901704166242
Feb.2021,-0.125265562868538
Mar.2021,0.839468767410369
Abr.2021,-0.104691802721501
May.2021,0.266557522263624
Jun.2021,0.51967163414861
Jul.2021,1.00753906510749
Ago.2021,0.98493531236659
Sep.2021,0.40042251687241
Oct.2021,0.58366506925955
Nov.2021,0.358183580426998
Dic.2021,0.782835268325123
Ene.2022,0.0372679999999974
Feb.2022,0.311455926605271
Mar.2022,1.48265988924236
Abr.2022,0.961893177341858
May.2022,0.384024966018986
Jun.2022,1.19062710636316
Jul.2022,0.940891085039107
Ago.2022,0.666542107665968
Sep.2022,0.522557852684368
Oct.2022,0.347652348101841
Nov.2022,0.517639656505263
Dic.2022,0.793924170395989
Ene.2023,0.226446521871514
Feb.2023,0.29452251053137
Mar.2023,1.25348677152025
Abr.2023,0.556251880069387
May.2023,0.31786146413237
